"SEX" "LENGTH" "DIAM" "HEIGHT" "WHOLE" "SHUCK" "VISCERA" "SHELL" "RINGS" "CLASS"
"2839" "I" 0.32 0.205 0.08 0.181 0.088 0.034 0.0495 5 "A1"
"3268" "M" 0.645 0.5 0.19 1.229 0.524 0.278 0.395 17 "A6"
"102" "M" 0.53 0.435 0.16 0.883 0.316 0.164 0.335 15 "A6"
"1962" "F" 0.705 0.535 0.22 1.866 0.929 0.3835 0.4395 10 "A3"
"3114" "I" 0.2 0.15 0.04 0.046 0.021 0.007 0.0065 4 "A1"
"889" "F" 0.695 0.56 0.22 1.834 0.8455 0.422 0.455 11 "A4"
"1306" "I" 0.55 0.425 0.135 0.7305 0.3325 0.1545 0.215 9 "A3"
"951" "M" 0.48 0.365 0.12 0.6015 0.312 0.117 0.14 7 "A2"
"586" "I" 0.52 0.425 0.17 0.6805 0.28 0.174 0.195 10 "A3"
"1700" "F" 0.65 0.495 0.155 1.337 0.615 0.3195 0.335 9 "A3"
"1696" "M" 0.645 0.5 0.175 1.3375 0.554 0.308 0.415 10 "A3"
"1512" "M" 0.74 0.57 0.18 1.8725 0.9115 0.427 0.446 10 "A3"
"625" "F" 0.525 0.405 0.16 0.658 0.2655 0.1125 0.225 12 "A4"
"569" "F" 0.41 0.32 0.115 0.387 0.165 0.1005 0.0985 11 "A4"
"955" "M" 0.495 0.4 0.135 0.61 0.272 0.1435 0.144 7 "A2"
"1908" "M" 0.615 0.47 0.145 1.0285 0.4435 0.2825 0.285 11 "A4"
"1089" "I" 0.45 0.33 0.1 0.411 0.1945 0.1 0.098 6 "A1"
"3511" "I" 0.46 0.34 0.09 0.384 0.1795 0.068 0.11 8 "A2"
"188" "F" 0.63 0.48 0.16 1.199 0.5265 0.335 0.315 11 "A4"
"1809" "I" 0.34 0.26 0.085 0.1885 0.0815 0.0335 0.06 6 "A1"
"3267" "F" 0.605 0.485 0.165 1.0735 0.437 0.205 0.33 14 "A5"
"499" "M" 0.555 0.45 0.175 0.874 0.3275 0.202 0.305 10 "A3"
"2293" "M" 0.575 0.435 0.15 0.805 0.293 0.1625 0.27 17 "A6"
"844" "M" 0.54 0.405 0.125 0.891 0.4815 0.1915 0.202 9 "A3"
"521" "F" 0.36 0.27 0.09 0.1885 0.0845 0.0385 0.055 5 "A1"
"3077" "I" 0.29 0.215 0.06 0.1115 0.053 0.0185 0.032 5 "A1"
"3655" "I" 0.625 0.485 0.16 1.15 0.5255 0.257 0.3315 11 "A4"
"1529" "I" 0.38 0.285 0.095 0.243 0.0895 0.0665 0.075 7 "A2"
"2715" "I" 0.46 0.35 0.1 0.471 0.252 0.077 0.123 8 "A2"
"387" "M" 0.46 0.38 0.135 0.482 0.207 0.1225 0.145 10 "A3"
"1567" "F" 0.515 0.375 0.11 0.6065 0.3005 0.131 0.15 6 "A1"
"1119" "M" 0.545 0.39 0.135 0.7835 0.4225 0.1815 0.156 7 "A2"
"3322" "F" 0.51 0.38 0.13 0.584 0.224 0.1355 0.185 13 "A5"
"1829" "I" 0.47 0.375 0.12 0.487 0.196 0.099 0.135 8 "A2"
"3302" "F" 0.51 0.34 0.18 0.7005 0.312 0.165 0.2 11 "A4"
"3310" "F" 0.585 0.475 0.185 0.8575 0.3465 0.1785 0.275 12 "A4"
"3236" "M" 0.48 0.38 0.135 0.528 0.2 0.1395 0.16 14 "A5"
"1791" "F" 0.64 0.475 0.14 1.0725 0.4895 0.2295 0.31 8 "A2"
"3072" "M" 0.58 0.43 0.125 0.9115 0.446 0.2075 0.121 10 "A3"
"2561" "F" 0.53 0.405 0.15 0.889 0.4055 0.2275 0.215 8 "A2"
"2890" "M" 0.595 0.46 0.17 1.1295 0.57 0.2555 0.265 10 "A3"
"3" "F" 0.53 0.42 0.135 0.677 0.2565 0.1415 0.21 9 "A3"
"1934" "I" 0.64 0.49 0.135 1.1 0.488 0.2505 0.2925 10 "A3"
"896" "I" 0.265 0.195 0.06 0.092 0.0345 0.025 0.0245 6 "A1"
"1544" "I" 0.45 0.34 0.095 0.3245 0.1385 0.064 0.105 8 "A2"
"2491" "F" 0.465 0.35 0.135 0.6265 0.259 0.1445 0.175 8 "A2"
"1430" "I" 0.44 0.34 0.105 0.369 0.164 0.08 0.1015 5 "A1"
"452" "F" 0.665 0.555 0.195 1.4385 0.581 0.354 0.36 17 "A6"
"990" "F" 0.58 0.46 0.15 1.1155 0.5575 0.2255 0.29 7 "A2"
"2713" "I" 0.45 0.335 0.095 0.3505 0.1615 0.0625 0.1185 7 "A2"
"4099" "F" 0.595 0.455 0.14 0.914 0.3895 0.2225 0.271 9 "A3"
"3199" "I" 0.42 0.325 0.125 0.3915 0.1575 0.1025 0.115 9 "A3"
"418" "F" 0.63 0.5 0.155 1.005 0.367 0.199 0.36 16 "A6"
"1764" "M" 0.525 0.365 0.17 0.9605 0.438 0.2225 0.276 10 "A3"
"3995" "I" 0.435 0.325 0.1 0.366 0.174 0.0725 0.109 7 "A2"
"3621" "I" 0.53 0.425 0.13 0.781 0.3905 0.2005 0.215 9 "A3"
"3593" "F" 0.67 0.525 0.195 1.42 0.573 0.368 0.3905 10 "A3"
"710" "I" 0.325 0.25 0.08 0.176 0.0595 0.0355 0.063 7 "A2"
"530" "I" 0.53 0.42 0.185 0.752 0.299 0.156 0.205 20 "A6"
"2646" "M" 0.59 0.46 0.14 1.004 0.496 0.2165 0.26 9 "A3"
"1391" "M" 0.65 0.525 0.175 1.5365 0.6865 0.3585 0.405 11 "A4"
"2659" "F" 0.625 0.49 0.155 1.115 0.484 0.277 0.3095 9 "A3"
"1297" "I" 0.54 0.42 0.14 0.7265 0.3205 0.1445 0.229 9 "A3"
"760" "M" 0.585 0.405 0.15 1.2565 0.435 0.202 0.325 15 "A6"
"3165" "F" 0.61 0.47 0.16 1.017 0.426 0.2255 0.32 12 "A4"
"379" "F" 0.61 0.495 0.185 1.1085 0.3705 0.3135 0.33 12 "A4"
"1888" "I" 0.575 0.45 0.135 0.8245 0.3375 0.2115 0.239 11 "A4"
"2068" "F" 0.72 0.575 0.215 2.1 0.8565 0.4825 0.602 12 "A4"
"2425" "I" 0.275 0.205 0.08 0.096 0.036 0.0185 0.03 6 "A1"
"1345" "I" 0.6 0.475 0.15 1.12 0.565 0.2465 0.27 10 "A3"
"1974" "I" 0.29 0.21 0.07 0.1115 0.048 0.0205 0.03 5 "A1"
"3855" "M" 0.62 0.5 0.2 1.221 0.4605 0.263 0.43 12 "A4"
"1950" "M" 0.665 0.525 0.18 1.429 0.6715 0.29 0.4 12 "A4"
"3594" "M" 0.69 0.53 0.19 1.5955 0.678 0.331 0.48 10 "A3"
"4134" "M" 0.52 0.385 0.165 0.791 0.375 0.18 0.1815 10 "A3"
"2456" "F" 0.47 0.355 0.18 0.441 0.1525 0.1165 0.135 8 "A2"
"1657" "M" 0.61 0.47 0.17 1.1185 0.5225 0.2405 0.31 9 "A3"
"594" "M" 0.535 0.42 0.15 0.6995 0.2575 0.153 0.24 12 "A4"
"3771" "M" 0.425 0.305 0.11 0.359 0.173 0.0875 0.0975 9 "A3"
"1214" "I" 0.33 0.25 0.095 0.2085 0.102 0.0395 0.052 7 "A2"
"245" "I" 0.35 0.26 0.085 0.174 0.0705 0.0345 0.06 10 "A3"
"3818" "M" 0.55 0.41 0.15 0.785 0.282 0.186 0.275 12 "A4"
"2902" "I" 0.61 0.49 0.16 1.1545 0.5865 0.2385 0.2915 11 "A4"
"573" "F" 0.57 0.44 0.14 0.9535 0.3785 0.201 0.305 17 "A6"
"2211" "F" 0.56 0.445 0.18 0.903 0.3575 0.2045 0.295 9 "A3"
"3840" "F" 0.525 0.41 0.15 0.708 0.274 0.151 0.25 12 "A4"
"2356" "I" 0.415 0.325 0.115 0.3285 0.1405 0.051 0.106 12 "A4"
"1627" "M" 0.58 0.46 0.155 1.0335 0.469 0.2225 0.295 10 "A3"
"2606" "I" 0.33 0.24 0.075 0.163 0.0745 0.033 0.048 6 "A1"
"1286" "I" 0.52 0.4 0.13 0.5825 0.233 0.1365 0.18 10 "A3"
"1237" "I" 0.385 0.28 0.085 0.2175 0.097 0.038 0.067 8 "A2"
"884" "F" 0.67 0.585 0.16 1.309 0.5445 0.2945 0.413 10 "A3"
"1485" "M" 0.63 0.455 0.15 1.1315 0.481 0.2745 0.305 9 "A3"
"4131" "I" 0.475 0.365 0.115 0.499 0.232 0.0885 0.156 10 "A3"
"620" "M" 0.345 0.255 0.08 0.169 0.06 0.0425 0.054 10 "A3"
"366" "M" 0.58 0.465 0.145 0.887 0.4405 0.1655 0.265 11 "A4"
"570" "I" 0.45 0.35 0.14 0.474 0.21 0.109 0.1275 16 "A6"
"2769" "M" 0.63 0.47 0.15 1.1355 0.539 0.2325 0.3115 12 "A4"
"2484" "I" 0.375 0.3 0.075 0.144 0.059 0.03 0.044 7 "A2"
"3575" "M" 0.515 0.39 0.14 0.678 0.341 0.1325 0.119 8 "A2"
"2699" "I" 0.395 0.32 0.1 0.3075 0.149 0.0535 0.09 8 "A2"
"2955" "F" 0.51 0.37 0.21 1.183 0.508 0.292 0.343 9 "A3"
"2089" "M" 0.62 0.49 0.17 1.2105 0.5185 0.2555 0.335 13 "A5"
"2644" "F" 0.585 0.435 0.14 0.6955 0.3085 0.129 0.2245 8 "A2"
"3292" "I" 0.49 0.385 0.14 0.5425 0.198 0.127 0.175 11 "A4"
"3149" "M" 0.38 0.3 0.1 0.2505 0.106 0.0535 0.0775 8 "A2"
"3923" "F" 0.555 0.44 0.155 1.016 0.4935 0.1855 0.263 10 "A3"
"1759" "I" 0.485 0.345 0.16 0.869 0.3085 0.185 0.319 9 "A3"
"1248" "I" 0.425 0.325 0.11 0.3335 0.173 0.045 0.1 7 "A2"
"1638" "F" 0.6 0.46 0.155 0.9735 0.427 0.2045 0.3 8 "A2"
"42" "F" 0.55 0.425 0.135 0.8515 0.362 0.196 0.27 14 "A5"
"736" "M" 0.52 0.385 0.115 0.669 0.2385 0.172 0.205 12 "A4"
"3369" "M" 0.365 0.285 0.085 0.2205 0.0855 0.0515 0.07 9 "A3"
"924" "I" 0.43 0.325 0.1 0.3645 0.1575 0.0825 0.105 7 "A2"
"956" "M" 0.5 0.39 0.135 0.6595 0.3145 0.1535 0.1565 6 "A1"
"307" "M" 0.645 0.515 0.24 1.5415 0.471 0.369 0.535 13 "A5"
"982" "F" 0.565 0.4 0.13 0.6975 0.3075 0.1665 0.18 8 "A2"
"2923" "M" 0.64 0.505 0.18 1.297 0.59 0.3125 0.363 11 "A4"
"3383" "I" 0.48 0.355 0.115 0.5785 0.25 0.106 0.184 8 "A2"
"1986" "I" 0.375 0.275 0.085 0.22 0.109 0.05 0.0605 7 "A2"
"1548" "I" 0.46 0.355 0.11 0.4255 0.2015 0.081 0.13 7 "A2"
"983" "M" 0.57 0.45 0.155 1.195 0.5625 0.2565 0.295 10 "A3"
"443" "I" 0.395 0.295 0.1 0.2715 0.134 0.0325 0.085 10 "A3"
"1555" "I" 0.48 0.37 0.125 0.474 0.179 0.1035 0.175 9 "A3"
"4133" "F" 0.515 0.4 0.125 0.615 0.2865 0.123 0.1765 8 "A2"
"865" "M" 0.605 0.455 0.16 1.1035 0.421 0.3015 0.325 9 "A3"
"1772" "F" 0.55 0.38 0.165 1.205 0.543 0.294 0.3345 10 "A3"
"869" "M" 0.615 0.505 0.165 1.34 0.5315 0.2815 0.41 12 "A4"
"2000" "M" 0.505 0.385 0.115 0.4825 0.21 0.1035 0.1535 10 "A3"
"1409" "F" 0.72 0.575 0.17 1.9335 0.913 0.389 0.51 13 "A5"
"2587" "F" 0.63 0.495 0.2 1.4255 0.659 0.336 0.38 11 "A4"
"1491" "F" 0.645 0.515 0.175 1.546 0.7035 0.365 0.415 10 "A3"
"1414" "F" 0.745 0.57 0.215 2.25 1.1565 0.446 0.558 9 "A3"
"2122" "M" 0.47 0.37 0.105 0.4665 0.2025 0.1015 0.155 10 "A3"
"2943" "M" 0.69 0.515 0.18 1.8445 0.9815 0.4655 0.341 13 "A5"
"879" "M" 0.65 0.525 0.175 1.4715 0.675 0.315 0.399 11 "A4"
"1640" "M" 0.6 0.48 0.165 0.9165 0.4135 0.1965 0.2725 9 "A3"
"1056" "I" 0.225 0.165 0.055 0.059 0.027 0.0125 0.015 4 "A1"
"2502" "M" 0.58 0.46 0.18 1.145 0.48 0.277 0.325 11 "A4"
"730" "M" 0.525 0.4 0.13 0.8295 0.2405 0.1825 0.275 11 "A4"
"3428" "F" 0.61 0.495 0.175 1.2635 0.53 0.315 0.3455 10 "A3"
"2963" "F" 0.59 0.44 0.14 1.007 0.4775 0.2105 0.2925 9 "A3"
"2652" "F" 0.605 0.48 0.15 1.079 0.4505 0.2835 0.293 10 "A3"
"2452" "M" 0.605 0.49 0.145 1.3 0.517 0.3285 0.31 14 "A5"
"1476" "F" 0.61 0.485 0.17 1.1005 0.5125 0.229 0.305 11 "A4"
"2101" "I" 0.475 0.36 0.11 0.4555 0.177 0.0965 0.145 9 "A3"
"3467" "M" 0.59 0.46 0.145 0.929 0.38 0.24 0.255 10 "A3"
"2305" "M" 0.475 0.395 0.135 0.592 0.2465 0.1645 0.2 13 "A5"
"3327" "I" 0.39 0.3 0.1 0.3085 0.1385 0.0735 0.085 6 "A1"
"1238" "I" 0.385 0.3 0.095 0.302 0.152 0.0615 0.0735 7 "A2"
"2805" "M" 0.535 0.405 0.14 0.818 0.402 0.1715 0.189 7 "A2"
"1049" "F" 0.715 0.525 0.185 1.56 0.6655 0.383 0.405 11 "A4"
"2352" "I" 0.435 0.335 0.11 0.383 0.1555 0.0675 0.135 12 "A4"
"1904" "M" 0.61 0.48 0.14 1.031 0.4375 0.2615 0.27 8 "A2"
"3958" "M" 0.72 0.6 0.235 2.2385 0.984 0.411 0.621 12 "A4"
"2233" "M" 0.51 0.395 0.145 0.6185 0.216 0.1385 0.24 12 "A4"
"3610" "I" 0.465 0.355 0.12 0.4975 0.2375 0.099 0.14 8 "A2"
"3565" "M" 0.685 0.53 0.17 1.56 0.647 0.383 0.465 11 "A4"
"1084" "I" 0.445 0.34 0.145 0.434 0.1945 0.0905 0.13 7 "A2"
"1270" "I" 0.48 0.365 0.1 0.461 0.2205 0.0835 0.135 8 "A2"
"3893" "I" 0.5 0.38 0.155 0.6675 0.2745 0.156 0.18 12 "A4"
"2448" "M" 0.615 0.475 0.17 1.1825 0.474 0.2895 0.24 11 "A4"
"3700" "M" 0.615 0.505 0.165 1.167 0.4895 0.2955 0.345 10 "A3"
"1841" "I" 0.515 0.415 0.135 0.7125 0.285 0.152 0.245 10 "A3"
"1605" "I" 0.565 0.42 0.155 0.743 0.31 0.186 0.231 9 "A3"
"2601" "F" 0.705 0.56 0.205 2.381 0.9915 0.5005 0.624 10 "A3"
"601" "F" 0.385 0.315 0.11 0.286 0.1225 0.0635 0.0835 10 "A3"
"2259" "I" 0.485 0.415 0.14 0.5705 0.25 0.134 0.185 8 "A2"
"941" "I" 0.465 0.37 0.115 0.534 0.261 0.098 0.143 7 "A2"
"3792" "F" 0.68 0.52 0.185 1.541 0.5985 0.395 0.4575 10 "A3"
"2369" "M" 0.37 0.29 0.09 0.241 0.11 0.045 0.069 10 "A3"
"2029" "I" 0.42 0.315 0.115 0.355 0.1895 0.065 0.087 6 "A1"
"1585" "I" 0.54 0.425 0.14 0.742 0.32 0.1395 0.25 9 "A3"
"3465" "M" 0.575 0.44 0.145 0.87 0.3945 0.2195 0.225 8 "A2"
"1433" "M" 0.45 0.335 0.125 0.4475 0.2165 0.126 0.11 6 "A1"
"1134" "F" 0.575 0.46 0.145 0.9945 0.466 0.229 0.265 7 "A2"
"672" "F" 0.53 0.41 0.165 0.8115 0.24 0.169 0.24 19 "A6"
"677" "F" 0.5 0.375 0.115 0.5945 0.185 0.148 0.19 11 "A4"
"1895" "M" 0.58 0.44 0.16 0.8295 0.3365 0.2005 0.2485 9 "A3"
"995" "M" 0.59 0.465 0.155 1.136 0.5245 0.2615 0.275 11 "A4"
"850" "M" 0.555 0.435 0.145 0.9685 0.4985 0.168 0.2385 9 "A3"
"2649" "M" 0.595 0.47 0.165 1.108 0.4915 0.2325 0.3345 9 "A3"
"4091" "M" 0.55 0.42 0.145 0.7385 0.321 0.1485 0.252 11 "A4"
"2752" "F" 0.585 0.455 0.13 0.8755 0.411 0.2065 0.225 8 "A2"
"1382" "M" 0.635 0.475 0.17 1.1935 0.5205 0.2695 0.3665 10 "A3"
"3945" "F" 0.525 0.41 0.115 0.7745 0.416 0.163 0.18 7 "A2"
"3221" "F" 0.435 0.35 0.125 0.459 0.197 0.1145 0.145 9 "A3"
"3604" "I" 0.39 0.29 0.09 0.2745 0.135 0.0455 0.078 8 "A2"
"1108" "M" 0.52 0.4 0.145 0.7765 0.3525 0.1845 0.185 9 "A3"
"3768" "I" 0.305 0.23 0.075 0.1455 0.0595 0.0305 0.05 6 "A1"
"4120" "I" 0.44 0.35 0.11 0.3805 0.1575 0.0895 0.115 6 "A1"
"2690" "I" 0.34 0.245 0.085 0.2015 0.1005 0.038 0.053 6 "A1"
"207" "I" 0.435 0.34 0.11 0.3795 0.1495 0.085 0.12 8 "A2"
"3989" "I" 0.33 0.245 0.065 0.1445 0.058 0.032 0.0505 6 "A1"
"1871" "M" 0.565 0.415 0.125 0.667 0.302 0.1545 0.185 7 "A2"
"2193" "F" 0.43 0.325 0.12 0.445 0.165 0.0995 0.155 8 "A2"
"2733" "F" 0.545 0.44 0.15 0.9475 0.366 0.239 0.275 8 "A2"
"3583" "M" 0.615 0.475 0.19 1.4335 0.7315 0.305 0.3285 9 "A3"
"2419" "M" 0.54 0.415 0.17 0.879 0.339 0.208 0.255 10 "A3"
"1676" "I" 0.625 0.485 0.15 1.044 0.438 0.2865 0.278 9 "A3"
"2119" "F" 0.45 0.36 0.125 0.5065 0.222 0.105 0.16 10 "A3"
"229" "F" 0.53 0.415 0.16 0.783 0.2935 0.158 0.245 15 "A6"
"1020" "M" 0.64 0.505 0.155 1.4025 0.705 0.2655 0.335 10 "A3"
"1552" "I" 0.475 0.36 0.145 0.6325 0.2825 0.137 0.19 8 "A2"
"773" "M" 0.455 0.34 0.135 0.462 0.1675 0.158 0.12 9 "A3"
"3248" "F" 0.465 0.39 0.14 0.5555 0.213 0.1075 0.215 15 "A6"
"597" "I" 0.605 0.47 0.14 0.939 0.3385 0.201 0.32 13 "A5"
"3135" "F" 0.64 0.475 0.19 1.151 0.4365 0.281 0.3805 13 "A5"
"2134" "M" 0.58 0.46 0.165 1.2275 0.473 0.1965 0.435 16 "A6"
"2584" "M" 0.625 0.48 0.17 1.3555 0.671 0.268 0.3385 10 "A3"
"670" "M" 0.475 0.385 0.145 0.6175 0.235 0.108 0.215 14 "A5"
"2468" "M" 0.44 0.325 0.115 0.39 0.163 0.087 0.113 7 "A2"
"1216" "I" 0.335 0.245 0.09 0.2015 0.096 0.0405 0.048 7 "A2"
"2823" "M" 0.63 0.49 0.165 1.2005 0.575 0.273 0.294 10 "A3"
"1554" "I" 0.475 0.36 0.125 0.4905 0.205 0.1305 0.125 8 "A2"
"3775" "F" 0.52 0.375 0.135 0.5375 0.221 0.117 0.17 8 "A2"
"3767" "I" 0.205 0.155 0.045 0.0495 0.0235 0.011 0.014 3 "A1"
"2829" "F" 0.655 0.515 0.17 1.527 0.8485 0.2635 0.331 11 "A4"
"1001" "F" 0.595 0.46 0.14 1.0045 0.4655 0.2095 0.2515 9 "A3"
"863" "M" 0.6 0.495 0.175 1.29 0.606 0.276 0.3445 11 "A4"
"2307" "I" 0.48 0.39 0.145 0.5825 0.2315 0.121 0.255 15 "A6"
"1041" "F" 0.675 0.565 0.195 1.8375 0.7645 0.3615 0.553 12 "A4"
"2065" "F" 0.705 0.57 0.185 1.761 0.747 0.3725 0.488 10 "A3"
"3052" "F" 0.7 0.555 0.22 1.666 0.647 0.4285 0.455 11 "A4"
"653" "M" 0.31 0.225 0.08 0.1345 0.054 0.024 0.05 7 "A2"
"1571" "I" 0.515 0.39 0.125 0.5705 0.238 0.1265 0.185 8 "A2"
"1832" "I" 0.485 0.36 0.12 0.5155 0.2465 0.1025 0.147 8 "A2"
"3370" "F" 0.46 0.35 0.115 0.44 0.19 0.1025 0.13 8 "A2"
"4053" "M" 0.6 0.47 0.13 1.0105 0.423 0.219 0.298 9 "A3"
"3423" "F" 0.555 0.44 0.145 0.8815 0.43 0.1975 0.2155 8 "A2"
"2616" "I" 0.46 0.37 0.12 0.5335 0.2645 0.108 0.1345 6 "A1"
"3685" "I" 0.36 0.25 0.115 0.465 0.21 0.1055 0.128 7 "A2"
"2003" "M" 0.525 0.41 0.13 0.6875 0.3435 0.1495 0.1765 9 "A3"
"2235" "M" 0.495 0.415 0.165 0.7485 0.264 0.134 0.285 13 "A5"
"1304" "M" 0.55 0.43 0.15 0.8745 0.413 0.1905 0.248 9 "A3"
"1346" "F" 0.6 0.465 0.155 1.04 0.4755 0.25 0.28 11 "A4"
"78" "F" 0.555 0.425 0.14 0.788 0.282 0.1595 0.285 11 "A4"
"1947" "M" 0.66 0.51 0.175 1.218 0.5055 0.303 0.37 11 "A4"
"3372" "M" 0.48 0.395 0.15 0.6815 0.2145 0.1405 0.2495 18 "A6"
"25" "F" 0.615 0.48 0.165 1.1615 0.513 0.301 0.305 10 "A3"
"279" "F" 0.515 0.425 0.135 0.712 0.2665 0.1605 0.25 11 "A4"
"636" "M" 0.38 0.235 0.1 0.258 0.1055 0.054 0.08 7 "A2"
"2979" "M" 0.7 0.545 0.185 1.6135 0.75 0.4035 0.3685 11 "A4"
"2843" "I" 0.37 0.27 0.09 0.1855 0.07 0.0425 0.065 7 "A2"
"3757" "F" 0.65 0.495 0.175 1.227 0.528 0.258 0.37 11 "A4"
"1803" "F" 0.72 0.55 0.195 2.073 1.0715 0.4265 0.5015 9 "A3"
"288" "M" 0.44 0.355 0.125 0.4775 0.132 0.0815 0.19 9 "A3"
"2506" "F" 0.6 0.475 0.135 1.4405 0.5885 0.191 0.3175 9 "A3"
"2929" "F" 0.65 0.565 0.2 1.6645 0.753 0.367 0.43 12 "A4"
"4051" "M" 0.59 0.45 0.155 0.874 0.369 0.2135 0.24 8 "A2"
"1531" "I" 0.385 0.29 0.09 0.2365 0.1 0.0505 0.076 8 "A2"
"868" "M" 0.615 0.51 0.15 1.296 0.545 0.3315 0.32 9 "A3"
"224" "I" 0.425 0.38 0.105 0.3265 0.1285 0.0785 0.1 10 "A3"
"1527" "I" 0.37 0.27 0.095 0.2175 0.097 0.046 0.065 6 "A1"
"251" "M" 0.59 0.47 0.18 1.1235 0.4205 0.2805 0.36 13 "A5"
"871" "M" 0.62 0.5 0.165 1.307 0.6355 0.2545 0.315 9 "A3"
"211" "M" 0.335 0.25 0.09 0.181 0.0755 0.0415 0.06 7 "A2"
"2582" "F" 0.62 0.485 0.175 1.2155 0.545 0.253 0.345 10 "A3"
"1147" "F" 0.58 0.45 0.155 0.93 0.385 0.246 0.265 9 "A3"
"388" "M" 0.49 0.42 0.125 0.609 0.239 0.1435 0.22 14 "A5"
"277" "M" 0.61 0.5 0.24 1.642 0.532 0.3345 0.69 18 "A6"
"3388" "M" 0.58 0.46 0.15 1.0165 0.491 0.221 0.265 9 "A3"
"4027" "M" 0.63 0.49 0.15 1.1955 0.5845 0.257 0.3 9 "A3"
"3141" "F" 0.57 0.465 0.155 0.872 0.3245 0.239 0.285 14 "A5"
"3777" "M" 0.555 0.445 0.13 0.8625 0.4225 0.155 0.24 9 "A3"
"399" "M" 0.585 0.455 0.15 0.987 0.4355 0.2075 0.31 11 "A4"
"381" "M" 0.535 0.42 0.145 0.791 0.33 0.189 0.25 10 "A3"
"3070" "F" 0.55 0.43 0.15 0.655 0.2635 0.122 0.221 8 "A2"
"3014" "M" 0.575 0.47 0.15 0.9785 0.4505 0.196 0.276 9 "A3"
"37" "F" 0.54 0.475 0.155 1.217 0.5305 0.3075 0.34 16 "A6"
"2991" "I" 0.44 0.32 0.105 0.3875 0.1755 0.074 0.12 9 "A3"
"2800" "M" 0.5 0.365 0.13 0.5945 0.309 0.1085 0.1535 9 "A3"
"2418" "M" 0.465 0.355 0.125 0.5255 0.2025 0.135 0.145 13 "A5"
"1845" "I" 0.52 0.415 0.14 0.6375 0.308 0.1335 0.168 9 "A3"
"3943" "M" 0.485 0.39 0.12 0.599 0.251 0.1345 0.169 8 "A2"
"32" "F" 0.68 0.56 0.165 1.639 0.6055 0.2805 0.46 15 "A6"
"1735" "M" 0.71 0.56 0.22 2.015 0.9215 0.454 0.566 11 "A4"
"4132" "M" 0.5 0.38 0.125 0.577 0.269 0.1265 0.1535 9 "A3"
"1493" "F" 0.645 0.505 0.165 1.318 0.55 0.3015 0.335 11 "A4"
